sqft,bedrooms,bathrooms,age,price
4145,3,3,45,19488036.421696924
1304,2,2,46,6858894.5107253045
3231,1,2,14,15287732.087015748
3273,3,3,40,16154080.911927951
2070,3,1,18,10508683.219639221
3190,2,2,25,15198299.008307924
4340,5,2,28,20632020.427295353
1528,4,3,21,9862012.11580846
1002,4,1,39,5878441.677849466
4993,3,2,20,22060894.09566354
1370,2,3,37,8169103.523471953
4988,4,2,19,23640780.061102383
706,3,4,28,6280805.770287916
1984,5,3,3,12319984.410526415
1363,4,1,6,7436362.7844879255
3290,3,1,27,15382562.030896755
1063,3,1,27,6739091.583594919
4691,1,1,3,20236633.376220204
2257,5,2,21,12351752.903595882
2178,1,2,11,11314210.194076845
3742,2,1,44,16357855.504304195
1559,1,1,2,8223397.584821191
2222,1,1,21,10655065.730809683
3814,4,2,43,17495281.46174746
3657,3,1,1,17504603.711357098
3125,5,1,23,16499822.247238649
3229,1,4,33,15865611.59164986
2097,5,4,26,12587968.198607346
3560,1,1,40,15121028.226326462
3193,2,3,0,15806512.034068767
4127,1,1,7,18289818.52351376
1863,4,4,22,11905379.033065576
2481,3,3,37,12085804.155416466
2163,2,3,5,11312063.45691699
2029,1,1,21,8937429.336561745
2538,5,4,24,13865952.55710121
3802,2,4,17,18256287.007569563
2737,2,3,16,13932928.920818513
1806,1,1,11,8479304.153128127
4529,2,2,5,21002047.394487645
3175,5,2,25,16855789.328565985
1782,2,4,26,10775352.999216694
1209,5,2,7,8830873.424420524
4913,1,4,18,21672117.736277934
4248,3,4,41,19370764.03419705
1163,2,4,0,7301103.401040053
2498,3,2,28,13156890.350701803
3945,5,4,44,18842452.328522176
4243,2,3,48,19520874.2428256
1995,4,1,34,10165779.485373925
3804,3,1,39,16893396.901070297
4263,2,4,13,19916222.27249501
2353,3,1,34,11180172.725216744
1791,2,2,47,9289989.877479788
4081,1,2,44,18450671.975991387
3957,3,1,19,17919283.92122343
2136,4,2,48,10967881.080417687
4196,4,1,12,19762339.59635805
3499,5,1,37,17326528.38174632
3652,2,1,48,15871257.86052207
1198,3,4,45,8285628.705526298
2660,5,1,48,14053311.958280964
4597,3,4,7,21355268.82320245
1354,2,1,42,7136484.082787414
3974,4,1,19,19576169.61865475
2207,1,1,32,9740609.527116558
3277,4,2,25,16060867.564103222
2233,5,4,38,12607981.501073522
4010,1,4,20,18086462.19223825
702,5,1,48,4813774.224044476
3755,2,1,41,15835842.524267474
4718,1,2,42,20170736.859368615
4996,5,2,40,24040798.98732639
1266,2,2,8,7197319.593740858
4889,4,4,23,22974621.34852572
2827,2,4,36,14638760.535210367
3431,3,4,48,15909871.269092007
697,2,1,40,3457378.418646789
2430,2,4,16,12185742.28193125
4082,3,3,23,18936607.760602817
1108,5,3,20,7558273.457652467
3772,5,2,38,18363979.146862693
1647,2,4,40,9462223.174930768
4782,3,3,38,21125022.613142587
3897,3,2,12,18491789.109476794
3011,4,4,10,16241967.837813387
2294,5,1,45,12034307.862362854
1159,1,3,18,6768846.294870529
3311,5,1,10,16942663.631297607
1869,5,4,12,11529636.021540783
2486,4,3,45,13693291.286005935
646,1,4,44,5027878.417038107
3719,4,1,0,18770955.698620584
3411,1,3,39,15770837.870271932
2234,2,1,43,9588510.265283488
2343,1,4,18,12175031.188905982
988,4,4,11,8259800.713774754
3476,5,1,7,16795738.19252811
2459,1,3,7,11988544.822424961
2885,1,1,44,12598396.724662645
3419,3,4,11,17988158.54906232
2302,5,1,47,12430361.92894713
4561,2,4,32,20371717.13636085
3869,4,1,44,18743694.229225982
762,2,3,25,5469889.881356944
1123,5,3,38,8004079.431548454
1516,1,1,27,7160440.901705594
4143,1,1,4,17480222.380988434
2549,5,3,7,14401115.248091929
4223,1,4,24,19360742.62865283
3608,1,3,26,16119308.336237391
4590,1,4,45,20370226.23862378
2556,4,1,22,12651804.46454291
3670,4,1,29,17329536.04286119
2182,3,4,44,11706270.163304316
2755,2,1,46,12494830.43853171
1654,5,4,22,10073267.455140477
4999,5,2,48,22916497.024564385
3691,5,3,46,19082731.4651563
2196,3,2,19,11257776.962834742
4491,4,4,17,21831903.77205592
2148,3,3,17,11608622.124725528
1945,5,4,1,13244119.879459826
4699,2,3,3,22281184.061097335
4423,1,3,29,19915765.499909405
753,4,3,32,5785378.843313733
3683,4,3,35,18111591.52459604
3057,3,4,17,15871970.871537566
598,4,3,36,5222697.582201973
2700,5,3,18,14404741.447076155
3461,5,2,46,17876507.073603515
4933,3,1,27,21841598.343891535
4277,5,1,39,20935488.409455575
3369,2,2,19,16194546.877747267
3734,3,2,48,17279938.39118766
4291,2,4,32,19950265.718179744
1456,1,4,11,7603790.219834616
4567,2,4,14,21291387.38991721
660,1,2,40,4648510.206490813
4993,1,2,38,21652669.751592804
1800,2,3,1,10157168.343532205
4487,3,4,28,21943968.597908515
2027,5,4,40,11915479.638669599
1718,5,4,9,11082222.162489157
4996,1,1,1,21840915.958039127
3604,1,3,10,16999233.684055798
3235,3,4,12,15541102.95209587
1454,4,4,9,9978434.32174521
3946,2,4,13,19129172.507768154
1545,1,1,17,7505179.1873515695
2193,5,1,8,12965482.38315132
3936,3,2,38,18404593.331205536
1062,2,3,27,7678691.5592555385
2985,3,2,2,14624698.551209392
3854,2,3,19,18351354.925248045
725,2,1,5,4591338.046101297
1459,1,4,26,7208316.7743616365
3567,3,2,1,16330234.578591064
1315,3,4,28,8669162.011198463
3620,5,2,37,17932123.95697205
516,5,1,2,5584474.471319123
1743,1,1,15,7585247.833025194
2705,1,1,29,11694806.686930662
3024,4,2,39,14918046.503837729
1569,5,3,1,11052584.683396548
3944,2,2,16,18047732.124876186
3065,3,3,40,14986030.17135264
1560,1,2,11,7931933.809512932
2827,3,2,34,14602612.101263577
3920,3,1,42,17130875.177835885
801,4,4,0,7054380.891357436
4776,5,4,44,22677820.963003244
1106,1,3,14,6815352.198988362
3670,3,4,25,17360570.10510656
1199,1,2,36,6243859.295274
1639,2,2,20,8838455.071713278
690,4,1,48,4752821.01463331
2800,2,1,30,13064989.730478428
1480,1,4,24,7636093.050631285
3475,1,3,22,15301462.928769127
1684,5,4,23,11025802.87826072
3827,3,4,37,17438122.20726097
3894,3,4,27,17663598.64872488
627,2,4,20,5574416.650398401
2565,4,2,42,13544484.971295586
2316,3,3,17,12090598.440653736
1069,5,2,35,7341964.6739511145
2395,2,3,34,12302767.61298728
3233,2,1,44,13779230.891000539
4363,5,4,8,21310313.687639423
4514,4,2,37,21269818.211854246
3401,5,3,29,17428519.093256153
2186,4,1,43,11716438.369645119
3509,5,1,33,16105867.06061101
654,5,4,31,5995663.004440718
3037,1,3,2,14515166.029922077
1909,2,2,2,10404836.849241894
4557,5,4,27,22811498.54384473
1284,5,2,43,8463408.88440439
3675,3,1,14,17302327.577679284
4841,2,2,40,20969299.228484903
3306,3,2,22,16679452.45245226
1037,2,4,39,6016488.272264751
2341,3,2,10,12443510.07627797
2955,5,4,47,15086095.58270599
1024,5,1,31,7543389.272902505
3450,1,4,35,15281491.215306116
4631,3,4,32,21955907.849250227
4615,4,3,23,21956052.473412257
2868,1,2,38,13684319.58662934
4347,3,1,33,19387490.176364206
4995,3,4,27,23352483.05812377
3201,1,1,36,13494171.859769646
1471,5,3,6,10020053.496779352
1666,3,2,3,9756874.739722176
3274,5,4,36,16312390.038764313
2482,1,2,0,11319188.032907614
1353,5,3,0,10111929.649917822
4646,2,3,46,20490956.58923416
4236,4,1,19,19567536.73347599
4269,3,4,18,20047506.909791622
1074,4,1,28,6686755.602138153
3761,5,3,9,19320275.357504115
1648,3,2,17,9574517.932058094
2215,5,1,27,11073946.385187387
4354,2,1,34,19742417.028384946
2991,1,2,42,13894850.381470997
3160,3,1,46,13354672.61822655
3624,2,2,30,17038963.3481614
3551,2,4,26,17411609.42566552
504,3,2,10,4916222.7470937725
1376,5,4,48,8595415.689057563
1491,2,2,48,8111614.045832536
4642,4,3,37,21607384.466851324
4864,2,3,4,22550439.421909478
4965,5,4,7,25529600.63598089
1135,5,4,33,8705918.375311809
2193,4,3,47,11273557.654140718
2182,2,4,11,11540134.50254014
619,5,2,37,5441277.319879506
1330,3,2,0,8636744.85872426
4175,1,3,30,18096966.2206251
1869,1,1,3,8979574.288825179
1240,1,2,48,5457784.8127962
616,2,4,44,4717956.497240428
3338,4,1,49,15760377.396651024
1650,5,1,4,8977605.976441253
2431,3,2,29,12373786.78074011
1512,3,2,23,8665149.884451611
2164,2,1,2,10533504.025621936
1581,1,1,10,8938314.462134937
1012,2,3,44,6547238.2638023775
3349,4,4,3,16987798.756924298
1059,4,3,25,8055118.43978557
4172,5,2,26,20890249.03801053
3843,5,3,45,18938010.461308777
4570,4,3,42,21520721.018473662
1970,4,3,26,11429173.333460795
1080,4,3,41,6357092.070538356
2794,2,4,49,13302565.2015748
3647,4,4,5,18568543.579007987
4749,3,1,14,22231077.81827994
2179,1,2,29,10402863.931780936
4006,4,3,41,18955194.518941652
3244,1,1,36,14010937.629504494
3856,2,1,36,17515692.7908137
4545,1,1,41,19067707.668377344
1743,2,4,36,9102902.233454196
3618,3,3,34,17054148.90353957
2641,2,3,22,13494348.07191134
3559,2,2,5,16984082.452798966
3459,5,3,3,18198133.98667456
2765,4,3,17,14715769.649722416
2979,4,1,8,14776128.76320226
2135,3,2,48,10583025.299778674
2257,3,3,28,11536347.839112742
4952,4,4,12,23620610.357850127
2570,5,3,46,14433089.131813312
3349,4,1,16,15837064.094311405
3751,5,4,44,18479641.16678854
4230,3,1,31,18472850.568532124
2989,1,3,47,12680545.621406201
2131,3,4,21,11710614.042902354
3316,3,2,3,15995195.409099607
1515,2,2,4,9460844.465396097
1848,2,4,36,9730576.726911103
3587,2,4,40,17392698.43171501
3339,2,1,48,15180003.237470318
835,5,4,12,7695522.922387993
1395,4,1,33,9275067.791042812
4046,1,3,44,17838266.993232403
1351,3,1,21,8540504.633001994
2187,5,4,22,13706298.445790632
2431,1,4,2,12591323.992552392
4246,5,3,41,20939565.423902925
2927,5,4,33,16060035.707559738
2068,3,4,31,10779869.284304146
4500,4,2,44,20748645.17722651
3238,2,2,48,15129123.616972331
3998,4,3,20,20255093.15868083
4413,3,1,45,19191680.164084025
1566,3,2,43,8768415.65090651
4880,3,1,20,21995435.106638767
2944,1,4,43,13557062.967709202
4607,4,2,10,22006001.31461251
3873,4,3,38,18740998.70533307
4469,5,3,3,22486703.784436293
3046,5,3,0,17304858.380475026
1253,5,2,27,8964063.79543235
2582,3,1,23,12823295.629436351
3274,4,4,34,17548312.52841154
3396,3,1,12,16698964.797940169
4685,1,1,46,19573800.780698325
1275,5,4,33,8531439.798823547
2125,3,4,10,11506084.659539767
3569,3,2,35,17142616.224157818
917,1,2,16,5132843.7603735095
614,2,2,34,3871972.261444026
1116,4,2,17,7344957.3366564
4474,2,2,39,19372307.84395465
3767,5,4,21,19773323.833891127
1325,3,1,23,7561628.962108862
2016,1,2,18,9117812.699850297
3646,1,2,36,15979522.44888118
912,4,1,38,6299133.066224121
1228,2,2,20,6872331.569279574
3848,4,1,7,19129942.54209635
3308,3,1,27,15281530.557153858
1175,4,4,4,9374168.843318576
3965,1,3,16,18238391.38983749
3004,1,4,36,14459302.754022203
3467,5,3,35,17018724.579596803
3286,5,3,18,17233155.09611905
1622,3,3,26,9341585.997712616
4579,2,2,33,19544996.737546235
2071,4,4,10,12836530.364901455
2643,3,3,44,12683299.551546326
2187,5,1,46,11323216.085582009
4632,4,2,11,21401342.08220114
4351,5,4,20,22054593.163035188
3940,4,3,10,18697035.1406137
4266,2,1,38,18912937.400232285
2826,3,4,27,14986256.99312173
3414,4,4,4,18044589.21381288
4452,1,2,16,19944314.241923213
1095,1,4,19,7079773.234789021
1228,4,2,40,7237287.836637118
1865,4,3,45,11177367.489832172
4992,4,2,11,23117961.87293325
1198,1,1,5,6458806.1912050145
895,1,2,16,5193681.34082452
4671,4,1,18,21869771.060438655
4860,5,2,25,22770981.37843129
3002,5,4,47,15801457.862118684
2319,2,3,43,10698328.091426998
1217,3,1,43,7390332.604250786
3282,5,2,31,16943370.4729751
4077,1,2,5,18161870.119049117
643,5,2,35,5737425.484987095
3640,2,4,37,17342314.12315885
4991,2,4,10,22610353.30968202
3438,3,1,32,15974682.657882584
4136,5,1,23,20464699.393715702
3722,1,4,22,16742371.440431403
1667,1,1,14,8372300.414560101
3116,4,3,26,16001862.633467747
1562,1,3,10,8399331.590668658
2656,3,4,49,13092105.20794803
3482,3,1,16,17015398.528447192
3794,1,2,13,16717215.682116518
1656,1,3,26,7597980.54943519
1232,4,4,17,9108266.795815516
4830,1,1,27,19979348.325116083
1453,4,4,46,9437940.572427543
3039,4,2,46,15503451.623921722
3824,1,3,3,17950874.939199336
3801,2,4,6,18819705.650943745
2042,2,4,44,11498024.553464824
1691,4,4,34,10767380.231304474
3493,1,2,47,15297286.696312718
3181,2,4,8,16580974.091761824
1717,1,2,7,9705387.772423292
2040,1,2,44,10264385.89162971
3736,1,2,16,16477928.242401998
2886,5,3,16,14946990.820750797
4219,1,3,48,18039403.908282556
1888,5,4,32,11963820.807896588
2356,4,4,31,13083579.472666053
1865,2,3,7,10116759.507411577
999,2,1,18,6216240.699402467
2180,2,3,37,10144597.459163366
1010,2,2,2,6670584.6493457705
4812,2,3,4,22627228.82242394
1824,2,2,12,9930657.822279114
1655,2,4,46,9245904.910916865
2327,4,1,45,12506686.394976258
3641,1,4,30,16630928.357563166
3986,3,2,15,18417454.16932483
2310,5,2,49,12954757.521332521
3423,3,2,31,16757560.315516964
2714,3,1,21,13515145.837377898
4686,1,3,28,20503814.499708775
1213,1,4,21,7132689.825503993
4102,1,4,42,17629613.523934457
4634,2,3,2,21952473.2651036
4022,4,4,9,20646825.65476457
4768,2,1,41,19896158.624766607
1743,4,4,20,11205816.041953068
4209,4,2,15,20338050.827504504
1581,3,3,11,8993012.944804601
955,3,1,1,5996999.899463765
1394,4,3,40,8862746.63470086
1884,4,1,23,10177147.943046542
2458,2,2,34,12661974.425274836
3572,2,3,29,17084299.197324455
2496,3,4,29,13340846.568366114
4785,1,1,46,20281539.502001196
1004,4,3,34,7901433.590183584
1714,2,4,18,10119259.04586367
2031,3,3,49,10793883.219248012
3940,2,3,7,18029869.411851246
1323,4,3,25,10222973.48270311
1428,4,1,48,7500408.621345883
633,5,4,39,6295728.631449917
2605,1,2,6,11572635.861795
4127,5,1,29,19997399.079384632
2352,3,1,6,12163555.218642404
4675,2,1,2,21342638.21918238
3433,3,2,0,15962467.184447784
3784,4,4,35,19192452.833690464
4798,5,4,24,23008282.29926519
3311,5,4,36,17149497.400318068
1750,5,3,0,11865785.634340532
4012,3,3,14,19298633.34206595
1756,4,3,36,10369971.278333431
3876,2,2,12,18263589.4099527
3986,2,3,39,18278395.319969364
4084,3,2,7,19125446.048725642
1896,5,4,4,12120765.435882386
4137,1,3,8,18893939.339325912
3830,3,3,0,18272221.95322683
3203,3,1,35,15410004.329694334
970,4,2,34,6944326.965403742
1853,2,4,1,10629388.133960985
3283,3,1,39,15748248.279515736
3331,3,1,22,15623943.178394316
857,5,4,8,7876789.501423791
3519,5,1,33,16973685.61799802
1167,1,2,45,6039533.504462968
4968,4,2,13,23366225.05416576
1645,1,3,3,8586857.899745047
4685,5,1,29,21871153.0114433
4219,2,3,30,18846198.865740385
3245,5,1,37,15687565.773092255
1039,4,2,10,6691051.084136576
3279,5,2,34,16420544.873159222
4636,4,2,7,21152893.366959993
4275,4,1,2,20128592.156830244
3008,4,2,13,15065652.677061196
3279,4,1,12,16701947.528632803
1424,4,3,44,8208532.596845179
3456,2,1,31,15123406.807592763
2081,1,3,33,9873237.930404214
3824,3,1,44,16925928.174248613
4985,1,3,18,22664627.398710936
755,4,2,37,5310716.31347519
2338,2,3,15,11762297.750507079
2444,5,2,1,14022032.624582203
509,2,2,39,4296591.671521003
3371,4,3,16,16873879.222034898
1297,2,1,33,5868950.1997481035
1515,2,1,41,7464947.889207248
2324,4,4,15,13872014.238090357
4969,2,1,37,21577093.703715213
3636,3,4,1,18342208.931179967
2693,3,1,1,13020491.004211502
723,2,1,25,4109164.2048556674
4658,5,2,12,22501020.82431705
4425,4,4,46,20266810.538859297
4500,3,1,30,20590681.111181255
2133,5,4,33,12148676.87556682
2652,2,2,38,12435671.359634252
1010,5,2,2,7157116.540622879
884,1,4,7,5899099.065778247
904,3,2,22,5683069.726434899
2500,2,3,13,11479021.791329095
3256,4,3,26,16674921.044668159
2168,2,2,28,11532579.769545786
1960,4,3,38,11544736.794671973
4136,2,1,38,18424845.3449519
3224,5,4,0,17388939.416027226
4678,5,1,16,22594945.114273913
2548,5,4,40,14703926.599286864
4646,1,2,29,20172410.914835647
1216,4,1,12,7331819.913843988
2323,5,2,20,12742307.850704314
2581,1,2,18,12915348.244173968
3919,4,4,18,19478627.915924918
2074,2,4,24,9353622.140044453
749,1,4,21,4541538.268164903
1173,3,1,30,6679775.64842876
2665,1,3,16,13257912.619208785
1270,1,4,22,7203438.823796544
4462,4,4,31,21955215.82748663
4863,2,1,9,21308918.823226254
2484,3,4,9,12473853.738882193
1577,5,1,35,9162219.420700958
735,5,2,7,7072472.500773142
888,1,4,19,6002975.174670656
3537,4,4,31,17100446.125371683
2348,4,2,49,11836401.899098117
3314,5,2,13,18438337.119032037
3874,3,2,49,16999365.586851563
3778,2,4,27,18102361.697231874
1752,3,3,45,8459662.150715102
4481,2,3,23,20795895.912284832
2622,5,3,14,14161837.304905776
2650,2,4,21,13581044.12910147
1829,4,2,29,9690237.199115898
1858,1,4,3,10217426.400088353
2982,1,2,12,13333674.85212928
2517,5,4,22,13970475.908516686
1831,4,4,7,11604993.003197515
4844,3,2,17,21920807.261801492
4761,4,3,11,22914190.724108156
1858,1,2,30,8836579.340678325
3677,1,1,13,16281746.840623638
2628,4,1,33,13374543.2356767
2680,4,2,17,13804990.77270443
637,1,4,33,4089975.106999113
3972,3,1,10,18221843.867035106
3332,5,1,40,16925569.589916717
4079,5,4,11,20854086.542038273
3531,4,4,48,16941550.77329476
4664,5,3,14,22976780.304193858
3093,1,4,30,14706157.792469569
4800,1,2,48,20599999.537898906
4318,4,2,28,19823081.399814356
4638,4,3,25,21610804.50285705
4323,4,1,17,19913585.391806494
4542,3,1,31,20167676.043966904
2406,5,4,21,14173459.592571868
1260,4,2,37,8048092.402365507
3945,2,1,16,17947608.478578582
1399,2,3,22,8733009.571185762
4955,1,3,23,22104445.466245815
3447,5,2,49,16837099.187501956
2219,4,3,7,12044057.41197375
780,2,3,40,4862726.495764565
3766,5,2,5,18933147.466160886
2387,1,4,4,12582564.913668057
3766,3,4,43,17890334.03294695
1166,5,3,28,8175902.022555779
4688,5,4,27,22545553.557136387
1171,3,4,10,8149210.895539387
2469,5,3,0,14720993.78110855
4656,1,4,42,21279509.65288756
3622,1,3,18,16425115.700985165
4400,3,1,8,20217628.4096187
1023,4,2,26,6565029.146921309
2893,2,2,33,14481596.284549734
3617,4,4,43,17107498.58092196
3093,5,4,3,17597831.155890275
2468,2,4,35,12189332.023493765
2253,3,2,17,11472316.75307984
2796,3,1,14,13148998.214057036
2761,2,1,12,14309024.324703567
2786,1,2,18,12994745.811639197
4702,2,1,48,20158640.21855203
3378,5,2,5,17955366.179777272
4643,1,1,47,19106583.63718502
4144,3,3,11,19756922.9776155
4932,2,3,36,21936168.14340606
2555,4,2,16,13243927.133825934
1776,4,1,22,10563819.039592957
3266,5,4,25,17154672.79425205
802,4,1,28,5171433.973315585
1138,2,3,32,6661251.318239563
555,2,3,26,4724589.335856949
1025,4,1,24,6473253.383056195
4623,2,1,9,20204702.60341478
2625,5,4,46,14006870.48093698
3787,1,4,22,18018617.83003348
864,5,1,20,6612420.988677147
2146,5,1,20,12698558.509275515
1418,2,1,42,6824524.780925832
3297,1,1,12,14910507.068128271
2031,2,2,36,9780878.662890125
3845,3,1,32,17917041.585145235
2406,2,4,23,11804862.92271736
3586,2,3,43,16755429.739788616
2575,2,2,10,12756934.700154843
1213,1,1,16,6012004.091611275
1562,2,3,3,9004889.257644925
2476,1,2,46,11850927.470516087
1796,4,3,24,10672922.252440391
625,3,1,29,4368635.9920436805
4096,1,1,8,17421653.358585943
3783,4,4,20,19184702.136715498
2103,1,1,19,9929922.623505343
566,1,1,18,4051510.347544112
732,3,2,18,4936887.630155079
2656,5,4,11,14517869.77355425
1669,5,2,36,10629439.599625949
2658,1,3,41,12377670.82338967
4706,2,1,16,21070700.425618783
1993,4,3,36,10670656.483946024
4507,2,2,47,19197506.40083554
2972,2,1,38,13923629.329096043
3160,1,1,27,14419188.827382574
3239,1,2,40,13711840.256485473
2261,1,2,34,9824314.752073577
4014,1,2,46,17181703.514643777
2475,5,2,47,12660325.773311997
2862,1,2,17,12797911.560476987
1376,5,1,13,8418310.876786303
4312,5,2,34,20433783.075859815
3948,1,1,43,16154652.628683567
1812,3,1,40,8700299.548495382
1960,4,2,6,11469195.923283152
3209,2,2,40,14608400.882856311
2824,5,4,12,15998439.340766067
2233,4,1,17,11067483.282325346
2105,3,2,36,10804940.304914882
3063,2,2,12,15649818.77108292
3921,2,2,35,17397863.7578572
4017,5,4,30,20580374.50328615
2897,1,4,1,14676003.424387211
4235,3,3,15,20472599.30400064
3370,5,1,8,17203330.843528662
1660,3,3,8,10163042.991372107
742,1,2,37,4677506.810006503
3090,1,4,10,15177723.01415718
1563,5,4,21,9973290.913243301
4824,1,3,32,20202307.758728005
3095,4,4,35,15103208.228292596
1419,2,2,44,7260920.003808668
505,5,4,22,6576963.367211322
967,3,3,44,5835794.361244207
4670,4,2,44,21861985.229292203
503,5,3,33,5500862.412746057
1145,1,4,8,6873622.39440296
617,1,3,23,3989946.5020601996
3428,1,3,7,15029606.820491863
3051,1,1,6,13998657.064217323
4789,3,4,35,23012333.856419284
1346,4,4,17,9212667.738233719
3262,2,3,2,14982684.179152574
1641,3,1,27,9214171.405808223
2310,3,4,5,12027601.004948506
1223,2,2,43,6027482.801505407
724,2,3,43,4816830.9138432145
4708,1,4,20,21193421.7192701
2548,3,2,27,12247667.999416586
4915,5,4,39,23441341.97171701
2073,2,2,0,11249581.200380342
2328,2,3,35,11938089.44240401
2417,4,4,20,14093728.210907131
4734,5,4,42,23750709.326146748
2526,5,1,34,13628944.66083056
4244,2,3,12,19527631.74279788
1401,1,2,48,7173656.8955614865
2539,4,4,9,14409358.117002591
509,5,4,43,6129183.4887631275
760,2,2,46,4808609.392535843
2173,5,3,9,12455972.948923048
2719,4,1,45,12761951.796089035
2560,4,1,12,13251440.899462428
4213,3,4,36,19906455.037923187
2119,2,2,37,9996279.538534144
820,4,4,23,7231670.974304288
1842,3,2,1,11488382.952019595
2876,3,1,21,13011834.640360871
3332,5,3,16,17699122.23878188
3324,5,2,35,16663012.689554594
2494,3,1,13,12741327.777667327
3458,5,4,9,18136642.649769854
2538,4,2,34,12998970.057476416
3990,1,3,24,17944750.22550405
4177,4,4,2,20717183.05823237
1618,3,4,46,8491729.34131505
2104,3,1,37,10359042.484677773
4527,4,2,16,20679783.185901903
735,5,4,11,7746596.555290155
2469,5,3,23,12883227.449460939
4929,3,2,28,22770327.189727943
2408,2,3,42,11906781.50010174
875,5,4,24,7936694.307866948
4030,4,3,35,18237845.06607608
3135,5,1,25,15675700.280954221
2070,4,3,37,12016781.71432993
3060,3,2,0,15080696.010484852
3891,5,3,19,19044968.925018143
3465,4,3,27,16901664.952497143
4143,3,1,15,19037861.188680332
4350,2,3,46,18954314.774843596
1372,4,3,16,9684908.616044646
1752,2,4,39,9395666.235004803
1814,2,4,27,9638215.326026035
3398,1,2,11,14821328.23658221
577,5,4,26,6730223.302639469
3121,4,4,41,16094833.147355681
4727,2,4,46,20791895.546907656
1100,1,4,29,5401835.485842927
1565,3,1,40,8465381.094787942
2636,4,4,33,13990598.304369498
2949,2,1,36,13544035.583962835
2843,5,1,5,16050587.26681982
2363,1,4,6,12018584.07814547
1818,2,3,31,9295080.691578614
4097,5,1,31,18994339.01617583
4262,2,3,24,19311789.104252476
2690,4,3,32,14100288.67480782
1492,4,4,6,10074653.71029938
3212,4,2,11,17089732.67003355
2692,1,4,15,13417542.782732971
1748,4,2,15,10224599.564246396
3554,5,2,42,17122719.710583262
4533,2,4,35,20765336.38189166
2497,3,4,12,12994495.920808671
4187,5,2,6,20817915.539768953
2651,5,4,35,14847706.963452421
4518,4,2,46,20643773.888614275
3610,1,3,8,16364856.777967429
2470,2,4,31,11367351.576332547
697,1,3,10,5559918.363210196
3126,2,1,7,14865650.19512264
1702,2,3,32,9281808.64079239
2535,1,3,22,11319323.83211135
977,5,2,24,8217919.349870029
1754,2,3,7,9543391.566690959
1422,1,4,44,7363602.348650257
919,2,2,21,5321356.572290587
2704,3,1,3,12662527.134330075
3097,5,4,39,16886673.155861784
1620,4,1,2,10383298.684698813
